,Total population,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 2010, Block Group 2, Census Tract 204.02, San Francisco County, California",92,12,85,70,0,0,10,1,4,7
"Block 2011, Block Group 2, Census Tract 204.02, San Francisco County, California",163,13,157,120,8,0,24,0,5,6
"Block 2012, Block Group 2, Census Tract 204.02, San Francisco County, California",12,1,12,11,0,0,0,0,1,0
"Block 2013, Block Group 2, Census Tract 204.02, San Francisco County, California",144,24,137,113,7,0,10,0,7,7
"Block 2014, Block Group 2, Census Tract 204.02, San Francisco County, California",3,0,3,0,0,0,3,0,0,0
"Block 2015, Block Group 2, Census Tract 204.02, San Francisco County, California",83,7,82,69,2,0,9,0,2,1
"Block 2016, Block Group 2, Census Tract 204.02, San Francisco County, California",165,27,159,121,7,0,25,0,6,6
"Block 2017, Block Group 2, Census Tract 204.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2018, Block Group 2, Census Tract 204.02, San Francisco County, California",20,2,19,16,0,0,2,0,1,1
"Block 1000, Block Group 1, Census Tract 205, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 205, San Francisco County, California",2,1,2,2,0,0,0,0,0,0
"Block 1002, Block Group 1, Census Tract 205, San Francisco County, California",20,0,20,20,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 205, San Francisco County, California",74,6,71,59,0,0,8,0,4,3
"Block 1004, Block Group 1, Census Tract 205, San Francisco County, California",62,5,59,48,2,0,5,0,4,3
"Block 1005, Block Group 1, Census Tract 205, San Francisco County, California",16,2,16,13,2,0,1,0,0,0
"Block 1006, Block Group 1, Census Tract 205, San Francisco County, California",157,12,154,131,0,0,19,0,4,3
"Block 1007, Block Group 1, Census Tract 205, San Francisco County, California",123,9,116,100,2,1,11,0,2,7
"Block 1008, Block Group 1, Census Tract 205, San Francisco County, California",123,8,119,98,5,1,14,0,1,4
"Block 1009, Block Group 1, Census Tract 205, San Francisco County, California",154,17,147,115,5,2,15,0,10,7
"Block 1010, Block Group 1, Census Tract 205, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 205, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 205, San Francisco County, California",140,17,135,112,3,1,9,0,10,5
"Block 2001, Block Group 2, Census Tract 205, San Francisco County, California",26,1,26,19,1,0,5,1,0,0
"Block 2002, Block Group 2, Census Tract 205, San Francisco County, California",276,23,266,215,7,6,32,0,6,10
"Block 2003, Block Group 2, Census Tract 205, San Francisco County, California",168,19,159,137,1,2,15,0,4,9
"Block 2004, Block Group 2, Census Tract 205, San Francisco County, California",120,6,108,93,2,0,12,1,0,12
"Block 2005, Block Group 2, Census Tract 205, San Francisco County, California",202,15,192,167,2,3,16,0,4,10
"Block 3000, Block Group 3, Census Tract 205, San Francisco County, California",180,15,175,154,3,0,14,0,4,5
"Block 3001, Block Group 3, Census Tract 205, San Francisco County, California",141,1,140,119,3,0,15,0,3,1
"Block 3002, Block Group 3, Census Tract 205, San Francisco County, California",184,9,169,156,0,1,9,0,3,15
"Block 3003, Block Group 3, Census Tract 205, San Francisco County, California",122,5,117,110,3,0,4,0,0,5
"Block 3004, Block Group 3, Census Tract 205, San Francisco County, California",137,12,137,123,2,0,10,0,2,0
"Block 3005, Block Group 3, Census Tract 205, San Francisco County, California",156,9,151,125,2,0,23,1,0,5
"Block 1000, Block Group 1, Census Tract 206, San Francisco County, California",127,6,121,107,0,0,11,0,3,6
"Block 1001, Block Group 1, Census Tract 206, San Francisco County, California",248,22,237,198,8,0,21,1,9,11
"Block 1002, Block Group 1, Census Tract 206, San Francisco County, California",384,69,362,241,31,0,58,0,32,22
"Block 1003, Block Group 1, Census Tract 206, San Francisco County, California",190,22,180,149,3,0,18,0,10,10
"Block 1004, Block Group 1, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1006, Block Group 1, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1007, Block Group 1, Census Tract 206, San Francisco County, California",231,25,223,195,4,1,18,0,5,8
"Block 1008, Block Group 1, Census Tract 206, San Francisco County, California",204,14,191,165,3,0,15,0,8,13
"Block 1009, Block Group 1, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1010, Block Group 1, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1012, Block Group 1, Census Tract 206, San Francisco County, California",15,1,15,12,0,0,3,0,0,0
"Block 1013, Block Group 1, Census Tract 206, San Francisco County, California",172,20,168,151,0,0,11,0,6,4
"Block 2000, Block Group 2, Census Tract 206, San Francisco County, California",194,14,185,157,0,0,22,0,6,9
"Block 2001, Block Group 2, Census Tract 206, San Francisco County, California",140,4,140,131,1,0,8,0,0,0
"Block 2002, Block Group 2, Census Tract 206, San Francisco County, California",3,2,2,2,0,0,0,0,0,1
"Block 2003, Block Group 2, Census Tract 206, San Francisco County, California",89,3,86,79,0,0,5,1,1,3
"Block 2004, Block Group 2, Census Tract 206, San Francisco County, California",61,6,61,52,0,0,8,0,1,0
"Block 2005, Block Group 2, Census Tract 206, San Francisco County, California",122,6,118,105,6,0,7,0,0,4
"Block 2006, Block Group 2, Census Tract 206, San Francisco County, California",152,9,145,122,7,2,13,0,1,7
"Block 2007, Block Group 2, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2008, Block Group 2, Census Tract 206, San Francisco County, California",29,3,29,29,0,0,0,0,0,0
"Block 2009, Block Group 2, Census Tract 206, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 206, San Francisco County, California",101,8,96,85,2,1,6,0,2,5
"Block 3001, Block Group 3, Census Tract 206, San Francisco County, California",135,5,130,116,1,1,8,0,4,5
"Block 3002, Block Group 3, Census Tract 206, San Francisco County, California",267,26,253,204,7,0,31,2,9,14
"Block 3003, Block Group 3, Census Tract 206, San Francisco County, California",152,11,147,125,0,1,18,1,2,5
"Block 3004, Block Group 3, Census Tract 206, San Francisco County, California",100,4,100,94,0,0,5,0,1,0
"Block 3005, Block Group 3, Census Tract 206, San Francisco County, California",150,23,147,111,1,0,22,0,13,3
"Block 4000, Block Group 4, Census Tract 206, San Francisco County, California",171,16,164,142,2,0,13,2,5,7
"Block 4001, Block Group 4, Census Tract 206, San Francisco County, California",197,15,193,167,9,0,11,0,6,4
"Block 4002, Block Group 4, Census Tract 206, San Francisco County, California",180,34,171,146,4,3,7,0,11,9
"Block 4003, Block Group 4, Census Tract 206, San Francisco County, California",125,13,123,111,2,0,9,0,1,2
"Block 4004, Block Group 4, Census Tract 206, San Francisco County, California",214,26,203,175,2,3,15,2,6,11
"Block 4005, Block Group 4, Census Tract 206, San Francisco County, California",212,29,196,159,5,3,27,0,2,16
"Block 4006, Block Group 4, Census Tract 206, San Francisco County, California",177,19,161,132,3,1,19,2,4,16
"Block 4007, Block Group 4, Census Tract 206, San Francisco County, California",169,5,166,148,3,1,9,0,5,3
"Block 1000, Block Group 1, Census Tract 207, San Francisco County, California",50,7,48,42,0,0,3,2,1,2
"Block 1001, Block Group 1, Census Tract 207, San Francisco County, California",295,90,279,166,2,2,48,0,61,16
"Block 1002, Block Group 1, Census Tract 207, San Francisco County, California",2,0,2,1,0,0,0,1,0,0
"Block 1003, Block Group 1, Census Tract 207, San Francisco County, California",336,42,306,235,5,3,50,1,12,30
"Block 1004, Block Group 1, Census Tract 207, San Francisco County, California",302,55,279,194,16,0,40,0,29,23
"Block 1005, Block Group 1, Census Tract 207, San Francisco County, California",176,47,169,114,5,2,33,0,15,7
"Block 1006, Block Group 1, Census Tract 207, San Francisco County, California",265,39,252,222,2,0,10,0,18,13
"Block 1007, Block Group 1, Census Tract 207, San Francisco County, California",317,39,300,222,11,2,53,1,11,17
"Block 1008, Block Group 1, Census Tract 207, San Francisco County, California",27,3,27,24,0,0,3,0,0,0
"Block 1009, Block Group 1, Census Tract 207, San Francisco County, California",204,47,197,154,3,0,25,0,15,7
"Block 1010, Block Group 1, Census Tract 207, San Francisco County, California",143,31,135,91,4,5,27,0,8,8
"Block 1011, Block Group 1, Census Tract 207, San Francisco County, California",178,50,166,114,4,0,22,0,26,12
"Block 2000, Block Group 2, Census Tract 207, San Francisco County, California",109,29,106,79,0,0,7,0,20,3
"Block 2001, Block Group 2, Census Tract 207, San Francisco County, California",244,42,234,183,2,2,31,0,16,10
"Block 2002, Block Group 2, Census Tract 207, San Francisco County, California",4,0,4,4,0,0,0,0,0,0
"Block 2003, Block Group 2, Census Tract 207, San Francisco County, California",286,26,270,230,4,0,29,0,7,16
"Block 2004, Block Group 2, Census Tract 207, San Francisco County, California",248,21,234,190,5,3,27,0,9,14
"Block 2005, Block Group 2, Census Tract 207, San Francisco County, California",203,19,194,169,3,1,16,0,5,9
"Block 2006, Block Group 2, Census Tract 207, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2007, Block Group 2, Census Tract 207, San Francisco County, California",205,65,190,159,2,1,9,0,19,15
"Block 2008, Block Group 2, Census Tract 207, San Francisco County, California",168,53,156,101,7,0,15,0,33,12
"Block 2009, Block Group 2, Census Tract 207, San Francisco County, California",193,17,184,159,3,0,18,0,4,9
"Block 2010, Block Group 2, Census Tract 207, San Francisco County, California",339,91,318,225,13,0,41,0,39,21
"Block 3000, Block Group 3, Census Tract 207, San Francisco County, California",263,57,256,217,2,0,14,0,23,7
"Block 3001, Block Group 3, Census Tract 207, San Francisco County, California",6,1,6,6,0,0,0,0,0,0
"Block 3002, Block Group 3, Census Tract 207, San Francisco County, California",97,13,95,81,1,0,10,0,3,2
"Block 3003, Block Group 3, Census Tract 207, San Francisco County, California",120,20,112,95,1,2,9,0,5,8
"Block 3004, Block Group 3, Census Tract 207, San Francisco County, California",83,6,81,69,6,0,6,0,0,2
"Block 3005, Block Group 3, Census Tract 207, San Francisco County, California",107,6,99,83,2,1,12,0,1,8
"Block 3006, Block Group 3, Census Tract 207, San Francisco County, California",201,23,189,174,2,0,10,0,3,12
"Block 1000, Block Group 1, Census Tract 208, San Francisco County, California",249,161,228,138,17,0,36,0,37,21
"Block 1001, Block Group 1, Census Tract 208, San Francisco County, California",339,222,323,161,7,6,50,1,98,16
"Block 1002, Block Group 1, Census Tract 208, San Francisco County, California",213,111,201,78,0,0,28,0,95,12
"Block 1003, Block Group 1, Census Tract 208, San Francisco County, California",157,64,145,59,8,1,35,0,42,12
"Block 1004, Block Group 1, Census Tract 208, San Francisco County, California",124,43,120,76,3,0,22,0,19,4
"Block 1005, Block Group 1, Census Tract 208, San Francisco County, California",220,88,213,93,7,2,48,0,63,7
"Block 1006, Block Group 1, Census Tract 208, San Francisco County, California",98,19,89,41,17,1,21,1,8,9
"Block 2000, Block Group 2, Census Tract 208, San Francisco County, California",382,220,367,165,10,12,45,0,135,15
"Block 2001, Block Group 2, Census Tract 208, San Francisco County, California",422,297,377,192,2,9,27,0,147,45
"Block 2002, Block Group 2, Census Tract 208, San Francisco County, California",343,196,330,209,7,16,34,2,62,13
"Block 2003, Block Group 2, Census Tract 208, San Francisco County, California",343,136,315,193,11,7,53,0,51,28
"Block 2004, Block Group 2, Census Tract 208, San Francisco County, California",204,86,196,105,1,0,51,0,39,8
"Block 2005, Block Group 2, Census Tract 208, San Francisco County, California",243,96,227,150,9,1,28,0,39,16
"Block 3000, Block Group 3, Census Tract 208, San Francisco County, California",194,99,182,104,10,6,18,0,44,12
"Block 3001, Block Group 3, Census Tract 208, San Francisco County, California",229,126,212,111,10,3,35,0,53,17
"Block 3002, Block Group 3, Census Tract 208, San Francisco County, California",224,38,216,141,3,1,53,0,18,8
"Block 3003, Block Group 3, Census Tract 208, San Francisco County, California",183,74,173,119,2,1,23,0,28,10
"Block 3004, Block Group 3, Census Tract 208, San Francisco County, California",249,115,230,157,3,10,11,0,49,19
"Block 3005, Block Group 3, Census Tract 208, San Francisco County, California",195,51,179,128,5,3,24,1,18,16
"Block 4000, Block Group 4, Census Tract 208, San Francisco County, California",408,251,389,241,6,5,14,0,123,19
"Block 4001, Block Group 4, Census Tract 208, San Francisco County, California",471,270,450,174,5,8,97,1,165,21
"Block 4002, Block Group 4, Census Tract 208, San Francisco County, California",150,81,144,79,0,6,8,0,51,6
"Block 4003, Block Group 4, Census Tract 208, San Francisco County, California",101,61,90,41,1,0,3,0,45,11
"Block 4004, Block Group 4, Census Tract 208, San Francisco County, California",174,59,166,104,5,1,30,0,26,8
"Block 4005, Block Group 4, Census Tract 208, San Francisco County, California",415,262,378,172,22,11,59,2,112,37
"Block 4006, Block Group 4, Census Tract 208, San Francisco County, California",247,120,230,140,9,8,36,0,37,17
"Block 1000, Block Group 1, Census Tract 209, San Francisco County, California",355,216,349,213,3,8,36,1,88,6
"Block 1001, Block Group 1, Census Tract 209, San Francisco County, California",239,140,224,121,7,1,33,0,62,15
"Block 1002, Block Group 1, Census Tract 209, San Francisco County, California",226,119,211,95,2,7,40,0,67,15
"Block 1003, Block Group 1, Census Tract 209, San Francisco County, California",361,191,336,205,6,4,25,0,96,25
"Block 1004, Block Group 1, Census Tract 209, San Francisco County, California",153,73,143,92,5,1,7,2,36,10
"Block 1005, Block Group 1, Census Tract 209, San Francisco County, California",239,115,227,141,1,0,41,0,44,12
"Block 1006, Block Group 1, Census Tract 209, San Francisco County, California",137,63,122,89,3,2,15,0,13,15
"Block 1007, Block Group 1, Census Tract 209, San Francisco County, California",74,45,67,10,0,0,26,0,31,7
"Block 2000, Block Group 2, Census Tract 209, San Francisco County, California",206,113,175,96,7,4,11,0,57,31
"Block 2001, Block Group 2, Census Tract 209, San Francisco County, California",121,82,110,76,0,5,10,0,19,11
"Block 2002, Block Group 2, Census Tract 209, San Francisco County, California",196,107,192,102,0,0,17,0,73,4
"Block 2003, Block Group 2, Census Tract 209, San Francisco County, California",62,17,61,39,2,1,9,0,10,1
"Block 2004, Block Group 2, Census Tract 209, San Francisco County, California",147,86,129,75,2,0,20,1,31,18
"Block 2005, Block Group 2, Census Tract 209, San Francisco County, California",211,121,194,92,9,2,48,0,43,17
"Block 3000, Block Group 3, Census Tract 209, San Francisco County, California",83,72,74,50,2,0,0,0,22,9
"Block 3001, Block Group 3, Census Tract 209, San Francisco County, California",80,19,72,40,1,0,13,0,18,8
"Block 3002, Block Group 3, Census Tract 209, San Francisco County, California",189,80,172,128,3,2,15,0,24,17
"Block 3003, Block Group 3, Census Tract 209, San Francisco County, California",55,17,51,28,2,0,10,0,11,4
"Block 3004, Block Group 3, Census Tract 209, San Francisco County, California",76,32,73,43,4,2,11,0,13,3
"Block 3005, Block Group 3, Census Tract 209, San Francisco County, California",112,53,107,64,3,0,12,1,27,5
"Block 4000, Block Group 4, Census Tract 209, San Francisco County, California",121,26,119,95,3,0,11,0,10,2
"Block 4001, Block Group 4, Census Tract 209, San Francisco County, California",163,59,155,95,4,0,29,0,27,8
"Block 4002, Block Group 4, Census Tract 209, San Francisco County, California",89,31,86,48,5,1,6,0,26,3
"Block 4003, Block Group 4, Census Tract 209, San Francisco County, California",203,106,195,118,4,2,16,0,55,8
"Block 4004, Block Group 4, Census Tract 209, San Francisco County, California",79,37,75,49,2,0,9,0,15,4
"Block 4005, Block Group 4, Census Tract 209, San Francisco County, California",178,88,171,93,4,4,26,2,42,7
"Block 4006, Block Group 4, Census Tract 209, San Francisco County, California",154,37,146,105,3,1,13,1,23,8
"Block 4007, Block Group 4, Census Tract 209, San Francisco County, California",63,42,60,25,5,0,11,0,19,3
"Block 1000, Block Group 1, Census Tract 210, San Francisco County, California",110,43,96,74,5,0,7,0,10,14
"Block 1001, Block Group 1, Census Tract 210, San Francisco County, California",197,24,179,145,2,0,23,0,9,18
"Block 1002, Block Group 1, Census Tract 210, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 210, San Francisco County, California",129,38,129,98,0,1,9,0,21,0
"Block 1004, Block Group 1, Census Tract 210, San Francisco County, California",171,50,165,136,2,1,9,1,16,6
"Block 1005, Block Group 1, Census Tract 210, San Francisco County, California",56,4,56,42,0,0,12,0,2,0
"Block 1006, Block Group 1, Census Tract 210, San Francisco County, California",160,34,150,109,2,1,12,0,26,10
"Block 1007, Block Group 1, Census Tract 210, San Francisco County, California",188,53,179,115,3,0,16,0,45,9
"Block 2000, Block Group 2, Census Tract 210, San Francisco County, California",170,38,166,126,5,0,19,0,16,4
"Block 2001, Block Group 2, Census Tract 210, San Francisco County, California",183,43,166,128,5,3,16,0,14,17
"Block 2002, Block Group 2, Census Tract 210, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2003, Block Group 2, Census Tract 210, San Francisco County, California",278,36,257,220,7,0,20,3,7,21
"Block 2004, Block Group 2, Census Tract 210, San Francisco County, California",104,20,100,82,2,0,13,0,3,4
"Block 2005, Block Group 2, Census Tract 210, San Francisco County, California",101,14,99,80,3,1,8,0,7,2
"Block 2006, Block Group 2, Census Tract 210, San Francisco County, California",147,29,137,99,0,2,15,0,21,10
"Block 3000, Block Group 3, Census Tract 210, San Francisco County, California",115,22,105,76,4,0,11,0,14,10
"Block 3001, Block Group 3, Census Tract 210, San Francisco County, California",164,44,151,114,0,0,18,1,18,13
"Block 3002, Block Group 3, Census Tract 210, San Francisco County, California",282,59,259,178,7,0,45,0,29,23
"Block 3003, Block Group 3, Census Tract 210, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3004, Block Group 3, Census Tract 210, San Francisco County, California",192,39,186,165,2,0,19,0,0,6
"Block 3005, Block Group 3, Census Tract 210, San Francisco County, California",215,26,204,164,3,0,29,0,8,11
"Block 3006, Block Group 3, Census Tract 210, San Francisco County, California",191,18,183,152,3,0,21,0,7,8
"Block 3007, Block Group 3, Census Tract 210, San Francisco County, California",190,24,181,158,3,0,20,0,0,9
"Block 3008, Block Group 3, Census Tract 210, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 4000, Block Group 4, Census Tract 210, San Francisco County, California",131,71,118,59,9,1,14,0,35,13
"Block 4001, Block Group 4, Census Tract 210, San Francisco County, California",138,36,123,88,5,2,12,0,16,15
"Block 4002, Block Group 4, Census Tract 210, San Francisco County, California",222,46,209,162,2,0,28,0,17,13
"Block 4003, Block Group 4, Census Tract 210, San Francisco County, California",171,39,166,113,14,3,19,0,17,5
"Block 4004, Block Group 4, Census Tract 210, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 4005, Block Group 4, Census Tract 210, San Francisco County, California",191,64,170,121,4,2,10,0,33,21
"Block 4006, Block Group 4, Census Tract 210, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1000, Block Group 1, Census Tract 211, San Francisco County, California",177,17,166,126,4,2,23,2,9,11
"Block 1001, Block Group 1, Census Tract 211, San Francisco County, California",133,10,125,111,1,3,10,0,0,8
"Block 1002, Block Group 1, Census Tract 211, San Francisco County, California",91,3,87,79,0,0,8,0,0,4
"Block 1003, Block Group 1, Census Tract 211, San Francisco County, California",109,6,106,90,1,0,12,0,3,3
"Block 1004, Block Group 1, Census Tract 211, San Francisco County, California",192,11,183,151,5,0,27,0,0,9
"Block 1005, Block Group 1, Census Tract 211, San Francisco County, California",178,6,172,153,4,0,13,0,2,6
"Block 1006, Block Group 1, Census Tract 211, San Francisco County, California",112,14,106,83,7,0,11,0,5,6
"Block 1007, Block Group 1, Census Tract 211, San Francisco County, California",10,6,10,7,0,0,0,0,3,0
"Block 1008, Block Group 1, Census Tract 211, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1009, Block Group 1, Census Tract 211, San Francisco County, California",148,16,140,129,3,1,4,0,3,8
"Block 2000, Block Group 2, Census Tract 211, San Francisco County, California",219,24,196,171,2,0,20,0,3,23
"Block 2001, Block Group 2, Census Tract 211, San Francisco County, California",253,22,241,205,5,1,27,0,3,12
"Block 2002, Block Group 2, Census Tract 211, San Francisco County, California",48,11,43,35,0,0,4,0,4,5
"Block 2003, Block Group 2, Census Tract 211, San Francisco County, California",57,4,53,43,1,0,9,0,0,4
"Block 2004, Block Group 2, Census Tract 211, San Francisco County, California",61,4,56,42,1,0,11,0,2,5
"Block 2005, Block Group 2, Census Tract 211, San Francisco County, California",43,7,39,36,0,0,3,0,0,4
"Block 2006, Block Group 2, Census Tract 211, San Francisco County, California",85,6,83,70,0,0,8,0,5,2
"Block 2007, Block Group 2, Census Tract 211, San Francisco County, California",84,9,77,66,3,0,6,0,2,7
"Block 2008, Block Group 2, Census Tract 211, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 211, San Francisco County, California",179,28,168,140,4,0,14,1,9,11
"Block 3001, Block Group 3, Census Tract 211, San Francisco County, California",140,9,133,107,2,1,20,0,3,7
"Block 3002, Block Group 3, Census Tract 211, San Francisco County, California",192,10,176,160,0,1,13,0,2,16
"Block 3003, Block Group 3, Census Tract 211, San Francisco County, California",190,14,182,158,0,0,19,0,5,8
"Block 3004, Block Group 3, Census Tract 211, San Francisco County, California",161,23,152,115,2,1,26,1,7,9
"Block 3005, Block Group 3, Census Tract 211, San Francisco County, California",160,26,152,122,0,0,22,0,8,8
"Block 4000, Block Group 4, Census Tract 211, San Francisco County, California",99,8,93,83,0,0,10,0,0,6
"Block 4001, Block Group 4, Census Tract 211, San Francisco County, California",152,7,147,139,1,0,7,0,0,5
"Block 4002, Block Group 4, Census Tract 211, San Francisco County, California",165,26,157,128,0,1,17,0,11,8
"Block 4003, Block Group 4, Census Tract 211, San Francisco County, California",129,3,125,108,0,0,17,0,0,4
"Block 4004, Block Group 4, Census Tract 211, San Francisco County, California",141,6,132,122,0,0,9,0,1,9
"Block 4005, Block Group 4, Census Tract 211, San Francisco County, California",145,14,139,123,0,0,14,0,2,6
"Block 1000, Block Group 1, Census Tract 212, San Francisco County, California",121,11,119,105,4,0,7,0,3,2
"Block 1001, Block Group 1, Census Tract 212, San Francisco County, California",115,11,108,96,0,0,10,0,2,7
"Block 1002, Block Group 1, Census Tract 212, San Francisco County, California",120,9,113,105,3,0,4,0,1,7
"Block 1003, Block Group 1, Census Tract 212, San Francisco County, California",157,5,148,127,2,1,16,0,2,9
"Block 1004, Block Group 1, Census Tract 212, San Francisco County, California",222,19,209,192,2,2,13,0,0,13
"Block 1005, Block Group 1, Census Tract 212, San Francisco County, California",102,4,102,91,0,0,11,0,0,0
"Block 2000, Block Group 2, Census Tract 212, San Francisco County, California",153,8,146,136,1,1,8,0,0,7
"Block 2001, Block Group 2, Census Tract 212, San Francisco County, California",172,21,162,152,2,0,8,0,0,10
"Block 2002, Block Group 2, Census Tract 212, San Francisco County, California",139,14,132,115,3,0,10,0,4,7
"Block 2003, Block Group 2, Census Tract 212, San Francisco County, California",129,8,120,103,2,2,11,1,1,9
"Block 2004, Block Group 2, Census Tract 212, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2005, Block Group 2, Census Tract 212, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2006, Block Group 2, Census Tract 212, San Francisco County, California",112,3,107,98,0,1,8,0,0,5
"Block 2007, Block Group 2, Census Tract 212, San Francisco County, California",170,27,164,144,0,0,17,0,3,6
"Block 2008, Block Group 2, Census Tract 212, San Francisco County, California",140,13,130,98,2,0,27,2,1,10
"Block 2009, Block Group 2, Census Tract 212, San Francisco County, California",140,4,132,105,3,0,23,1,0,8
"Block 3000, Block Group 3, Census Tract 212, San Francisco County, California",110,3,109,92,0,0,15,0,2,1
"Block 3001, Block Group 3, Census Tract 212, San Francisco County, California",100,4,89,69,4,0,15,0,1,11
"Block 3002, Block Group 3, Census Tract 212, San Francisco County, California",56,6,54,51,0,1,2,0,0,2
"Block 3003, Block Group 3, Census Tract 212, San Francisco County, California",133,9,131,115,0,1,15,0,0,2
"Block 3004, Block Group 3, Census Tract 212, San Francisco County, California",84,6,77,68,0,1,8,0,0,7
"Block 3005, Block Group 3, Census Tract 212, San Francisco County, California",139,10,129,115,1,0,12,0,1,10
"Block 3006, Block Group 3, Census Tract 212, San Francisco County, California",99,11,95,72,2,1,11,0,9,4
"Block 3007, Block Group 3, Census Tract 212, San Francisco County, California",66,12,65,54,0,1,6,0,4,1
"Block 1000, Block Group 1, Census Tract 213, San Francisco County, California",165,18,160,130,1,6,16,0,7,5
"Block 1001, Block Group 1, Census Tract 213, San Francisco County, California",143,13,138,118,1,0,16,0,3,5
"Block 1002, Block Group 1, Census Tract 213, San Francisco County, California",150,11,142,129,0,0,10,0,3,8
"Block 1003, Block Group 1, Census Tract 213, San Francisco County, California",177,14,166,149,0,1,11,0,5,11
"Block 1004, Block Group 1, Census Tract 213, San Francisco County, California",150,10,126,109,0,0,14,0,3,24
"Block 1005, Block Group 1, Census Tract 213, San Francisco County, California",142,7,134,117,0,1,7,0,9,8
"Block 1006, Block Group 1, Census Tract 213, San Francisco County, California",159,9,150,113,6,0,27,0,4,9
"Block 2000, Block Group 2, Census Tract 213, San Francisco County, California",152,15,148,123,0,5,19,0,1,4
"Block 2001, Block Group 2, Census Tract 213, San Francisco County, California",138,7,134,107,0,1,23,0,3,4
"Block 2002, Block Group 2, Census Tract 213, San Francisco County, California",112,7,108,99,4,0,4,0,1,4
"Block 2003, Block Group 2, Census Tract 213, San Francisco County, California",135,7,129,116,0,1,9,0,3,6
"Block 2004, Block Group 2, Census Tract 213, San Francisco County, California",187,16,169,140,5,3,19,0,2,18
"Block 2005, Block Group 2, Census Tract 213, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2006, Block Group 2, Census Tract 213, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2007, Block Group 2, Census Tract 213, San Francisco County, California",214,13,203,166,1,2,32,1,1,11
"Block 2008, Block Group 2, Census Tract 213, San Francisco County, California",134,26,129,107,2,0,9,0,11,5
"Block 2009, Block Group 2, Census Tract 213, San Francisco County, California",144,11,134,113,0,0,19,0,2,10
"Block 2010, Block Group 2, Census Tract 213, San Francisco County, California",111,10,107,96,0,0,8,0,3,4
"Block 2011, Block Group 2, Census Tract 213, San Francisco County, California",61,2,61,55,1,0,4,0,1,0
"Block 1000, Block Group 1, Census Tract 214, San Francisco County, California",85,8,84,81,2,0,0,0,1,1
"Block 1001, Block Group 1, Census Tract 214, San Francisco County, California",80,8,79,68,1,0,7,0,3,1
"Block 1002, Block Group 1, Census Tract 214, San Francisco County, California",116,9,113,96,0,2,11,0,4,3
"Block 1003, Block Group 1, Census Tract 214, San Francisco County, California",60,4,58,48,0,0,10,0,0,2
"Block 1004, Block Group 1, Census Tract 214, San Francisco County, California",102,5,98,81,1,0,14,0,2,4
"Block 1005, Block Group 1, Census Tract 214, San Francisco County, California",95,7,89,74,1,0,8,1,5,6
"Block 1006, Block Group 1, Census Tract 214, San Francisco County, California",199,21,185,154,3,1,20,0,7,14
"Block 1007, Block Group 1, Census Tract 214, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 214, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 214, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2001, Block Group 2, Census Tract 214, San Francisco County, California",155,17,150,116,6,0,25,0,3,5
"Block 2002, Block Group 2, Census Tract 214, San Francisco County, California",173,10,168,144,1,0,21,0,2,5
